iter	Logloss
0	0.6603088086
1	0.6430651628
2	0.6342418424
3	0.6293449935
4	0.6263768359
5	0.6233269792
6	0.6218622721
7	0.6202558919
8	0.6192158854
9	0.6182686393
10	0.6169489779
11	0.6163314258
12	0.6114084896
13	0.6106340885
14	0.6097774674
15	0.6086471419
16	0.6056938216
17	0.6039088542
18	0.602718776
19	0.6015193424
20	0.6008558724
21	0.5995841602
22	0.5985137695
23	0.5976541732
24	0.5973148763
25	0.5965988997
26	0.5957658659
27	0.5955227018
28	0.594943444
29	0.5935611003
30	0.5929449154
31	0.5927628711
32	0.5920023698
33	0.5916038997
34	0.5904770573
35	0.5893708138
36	0.5881146029
37	0.5877600651
38	0.5875698242
39	0.5869267904
40	0.5864274805
41	0.5854094401
42	0.5846638867
43	0.5836040755
44	0.5830407031
45	0.5823464128
46	0.5819573503
47	0.5812132747
48	0.5803057878
49	0.5790784701
50	0.5780965951
51	0.5771725586
52	0.5763692057
53	0.5753221615
54	0.5746785417
55	0.5734797005
56	0.5725841797
57	0.5718086589
58	0.5713308789
59	0.5709356445
60	0.5701739648
61	0.5699504102
62	0.5691842708
63	0.5689345508
64	0.5681547396
65	0.5674287044
66	0.5666813411
67	0.5663175846
68	0.5661877344
69	0.5654284375
70	0.5644888411
71	0.5636387565
72	0.5628230404
73	0.5624797917
74	0.5618728711
75	0.5615633854
76	0.5610932878
77	0.5603514193
78	0.5596766602
79	0.5589213997
80	0.5582645508
81	0.5580203711
82	0.557776263
83	0.557409401
84	0.5568210677
85	0.5566322461
86	0.5558817708
87	0.5554797852
88	0.555265599
89	0.5546191341
90	0.5535112891
91	0.5529958138
92	0.5527139128
93	0.552146875
94	0.5515855013
95	0.5508145117
96	0.5502393424
97	0.5496529557
98	0.5490961523
99	0.5488013932
100	0.5481266341
101	0.5472572331
102	0.5467987695
103	0.5456389388
104	0.5446940104
105	0.543998457
106	0.543244069
107	0.5423385612
108	0.5416797331
109	0.5411221875
110	0.540649375
111	0.5401373633
112	0.5392073958
113	0.5383626563
114	0.537628112
115	0.537009694
116	0.5360158138
117	0.535488112
118	0.5353513281
119	0.5351858659
120	0.5347756836
121	0.5340795768
122	0.5335860677
123	0.5330375716
124	0.5324821484
125	0.5319989258
126	0.5318721615
127	0.5317678255
128	0.5316725586
129	0.5314850065
130	0.5309638281
131	0.5305833984
132	0.5300182878
133	0.5292165755
134	0.5288100911
135	0.5286404753
136	0.5280415755
137	0.5277840755
138	0.5272773307
139	0.5268316927
140	0.5265378385
141	0.5263664583
142	0.5256413932
143	0.5250180924
144	0.5246718164
145	0.524518099
146	0.5237047656
147	0.5227571615
148	0.522263776
149	0.5217164844
150	0.5210805599
151	0.5207216992
152	0.5200183854
153	0.5194984831
154	0.5187082878
155	0.5181514063
156	0.5172724349
157	0.5168312695
158	0.5163699219
159	0.5159269401
160	0.5157756445
161	0.5154795638
162	0.5153105013
163	0.5148950195
164	0.5147413932
165	0.5143931901
166	0.5142370443
167	0.5138904167
168	0.513804681
169	0.5135642969
170	0.5131975716
171	0.5130648047
172	0.5129524414
173	0.5128354883
174	0.5127272331
175	0.5124061849
176	0.5123258333
177	0.5118197005
178	0.5117370247
179	0.5116259245
180	0.5114976172
181	0.5106722786
182	0.5097777214
183	0.5092466211
184	0.5087494531
185	0.5082050781
186	0.5076523047
187	0.5071163802
188	0.5062190039
189	0.505787526
190	0.5050790169
191	0.5046042773
192	0.5044836393
193	0.5043664779
194	0.5042556706
195	0.5037045964
196	0.5033525065
197	0.5032049544
198	0.5025423698
199	0.5019948698
200	0.5015448633
201	0.5010300195
202	0.5006007227
203	0.5000720768
204	0.4997176953
205	0.4996505794
206	0.4995050716
