iter	Passed	Remaining
0	506	505904
1	914	456390
2	1318	438318
3	1718	427853
4	2103	418509
5	2479	410733
6	2863	406151
7	3286	407475
8	3651	402049
9	4026	398666
10	4401	395756
11	4742	390468
12	5143	390492
13	5510	388129
14	5847	383955
15	6254	384657
16	6633	383553
17	7028	383422
18	7384	381280
19	7750	379751
20	8088	377095
21	8486	377244
22	8959	380588
23	9423	383225
24	9798	382122
25	10271	384801
26	10694	385382
27	11030	382903
28	11411	382099
29	11793	381317
30	12173	380515
31	12490	377836
32	12851	376578
33	13248	376416
34	13631	375848
35	14060	376502
36	14508	377621
37	14988	379433
38	15363	378582
39	15770	378482
40	16163	378073
41	16547	377441
42	16941	377043
43	17375	377524
44	17760	376922
45	18148	376381
46	18500	375127
47	18856	373982
48	19244	373509
49	19660	373552
50	20106	374138
51	20471	373211
52	20838	372336
53	21261	372466
54	21757	373830
55	22179	373882
56	22575	373490
57	22948	372722
58	23335	372180
59	23735	371859
60	24209	372667
61	24536	371213
62	24886	370144
63	25237	369103
64	25649	368958
65	26023	368270
66	26410	367774
67	26761	366784
68	27086	365472
69	27496	365315
70	27934	365503
71	28380	365793
72	28800	365730
73	29222	365671
74	29620	365323
75	30017	364952
76	30479	365363
77	30930	365616
78	31462	366793
79	31871	366518
80	32346	366992
81	32761	366771
82	33200	366803
83	33643	366879
84	34142	367529
85	34578	367492
86	35083	368170
87	35489	367798
88	35879	367259
89	36368	367728
90	36872	368323
91	37367	368796
92	37772	368379
93	38189	368084
94	38623	367936
95	39125	368434
96	39518	367892
97	39883	367090
98	40288	366666
99	40680	366121
100	41154	366316
101	41593	366189
102	42278	368194
103	43167	371907
104	43549	371204
105	44125	372152
106	44597	372198
107	45074	372284
108	45505	371972
109	45918	371524
110	46392	371559
111	46762	370761
112	47257	370948
113	47774	371298
114	48242	371260
115	48692	371067
116	49163	371039
117	49644	371073
118	49998	370159
119	50381	369462
120	51025	370674
121	51689	371991
122	52137	371745
123	52730	372516
124	53283	372983
125	53841	373470
126	54249	372914
127	54610	372033
128	54923	370840
129	55300	370085
130	55862	370568
131	56351	370553
132	56849	370591
133	57257	370036
134	57712	369789
135	58086	369017
136	58594	369100
137	59056	368887
138	59567	368975
139	59945	368233
140	60311	367430
141	60744	367032
142	61186	366688
143	61580	366059
144	61954	365315
145	62348	364694
146	62731	364014
147	63138	363474
148	63617	363347
149	64145	363490
150	64549	362927
151	65008	362679
152	65462	362396
153	65868	361848
154	66356	361750
155	66806	361442
156	67289	361305
157	67737	360982
158	68164	360544
159	68603	360168
160	68978	359459
161	69436	359181
162	69810	358476
163	70240	358055
164	70630	357434
165	71097	357201
166	71477	356531
167	71861	355887
168	72239	355211
169	72656	354734
170	73061	354200
171	73399	353341
172	73806	352819
173	74207	352273
174	74576	351573
175	74964	350969
176	75339	350308
177	75738	349758
178	76087	348981
179	76436	348210
180	76792	347474
181	77231	347119
182	77891	347746
183	78443	347879
184	78826	347263
185	79287	346991
186	79724	346611
187	80163	346236
188	80619	345936
189	81031	345451
190	81462	345041
191	81950	344876
192	82353	344347
193	82801	344010
194	83252	343681
195	83711	343387
196	84197	343202
197	84535	342410
198	84965	341998
199	85412	341649
200	85868	341337
201	86353	341140
202	86801	340793
203	87307	340671
204	87797	340481
205	88152	339772
206	88568	339300
207	88957	338720
208	89364	338216
209	89709	337478
210	90033	336663
211	90496	336372
212	90840	335639
213	91253	335165
214	91634	334574
215	91969	333813
216	92449	333586
217	92921	333322
218	93434	333206
219	93896	332904
220	94394	332729
221	94884	332522
222	95339	332192
223	95789	331842
224	96256	331548
225	96666	331060
226	97126	330744
227	97501	330138
228	97939	329743
229	98361	329296
230	98752	328748
231	99150	328223
232	99569	327768
233	99996	327338
234	100373	326746
235	100800	326319
236	101225	325885
237	101678	325541
238	102084	325047
239	102489	324550
240	102886	324029
241	103391	323847
242	103807	323383
243	104199	322847
244	104565	322232
245	104894	321506
246	105252	320869
247	105635	320315
248	106045	319841
249	106430	319290
250	106765	318595
251	107232	318292
252	107627	317776
253	108046	317333
254	108464	316886
255	108883	316443
256	109351	316139
257	109814	315823
258	110255	315441
259	110703	315078
260	111176	314786
261	111586	314317
262	112030	313940
263	112437	313460
264	112833	312952
265	113192	312343
266	113725	312213
267	114213	311957
268	114628	311498
269	115080	311143
270	115537	310801
271	116009	310495
272	116433	310061
273	116945	309864
274	117498	309769
275	117844	309129
276	118285	308738
277	118763	308443
278	119235	308131
279	119654	307683
280	120041	307153
281	120411	306579
282	120774	305989
283	121156	305451
284	121628	305138
285	122121	304877
286	122517	304372
287	122910	303862
288	123478	303781
289	123996	303576
290	124474	303273
291	124913	302871
292	125389	302561
293	125797	302085
294	126416	302114
295	126971	301986
296	127523	301849
297	127994	301516
298	128489	301241
299	129017	301040
300	129464	300651
301	129885	300199
302	130481	300150
303	130960	299830
304	131438	299506
305	131831	298989
306	132316	298681
307	132846	298472
308	133434	298393
309	133854	297933
310	134386	297725
311	134906	297486
312	135509	297427
313	136062	297258
314	136598	297047
315	137078	296713
316	137723	296735
317	138244	296487
318	138682	296058
319	139111	295612
320	139503	295086
321	139879	294528
322	140293	294051
323	140728	293617
324	141115	293086
325	141564	292682
326	141950	292148
327	142384	291713
328	142808	291260
329	143200	290739
330	143630	290299
331	144057	289849
332	144424	289283
333	144821	288776
334	145245	288323
335	145692	287916
336	146111	287453
337	146476	286885
338	146776	286193
339	147144	285633
340	147554	285156
341	148031	284808
342	148462	284372
343	148849	283853
344	149242	283343
345	149596	282762
346	149985	282248
347	150361	281711
348	150713	281130
349	151172	280748
350	151577	280267
351	152047	279905
352	152601	279697
353	153168	279511
354	153745	279339
355	154252	279041
356	154709	278650
357	155108	278155
358	155539	277718
359	155995	277324
360	156434	276901
361	156809	276365
362	157229	275910
363	157619	275401
364	158003	274882
365	158424	274429
366	158760	273828
367	159177	273369
368	159741	273162
369	160268	272889
370	160831	272675
371	161292	272289
372	161748	271894
373	162214	271513
374	162603	271005
375	163075	270636
376	163479	270153
377	164073	269983
378	164573	269657
379	165019	269242
380	165544	268955
381	165923	268430
382	166417	268092
383	166905	267744
384	167302	267249
385	167726	266798
386	168123	266304
387	168566	265883
388	168973	265406
389	169465	265061
390	169898	264623
391	170357	264227
392	170800	263807
393	171250	263394
394	171600	262830
395	172039	262403
396	172468	261960
397	172866	261471
398	173267	260986
399	173707	260561
400	174138	260122
401	174596	259722
402	175108	259403
403	175539	258964
404	176067	258667
405	176511	258245
406	176952	257820
407	177440	257462
408	177894	257055
409	178372	256682
410	178672	256053
411	179196	255746
412	179568	255222
413	179994	254774
414	180439	254354
415	180922	253986
416	181305	253480
417	181705	252997
418	182106	252514
419	182522	252054
420	182898	251539
421	183283	251037
422	183750	250647
423	184123	250130
424	184534	249664
425	185061	249354
426	185418	248816
427	185813	248330
428	186255	247906
429	186715	247506
430	187121	247034
431	187484	246507
432	187899	246048
433	188420	245728
434	188890	245339
435	189330	244913
436	189795	244518
437	190181	244022
438	190642	243622
439	191042	243145
440	191489	242727
441	191871	242226
442	192335	241831
443	192766	241392
444	193193	240949
445	193602	240484
446	193975	239973
447	194424	239559
448	194859	239126
449	195345	238755
450	195765	238304
451	196294	237984
452	196638	237442
453	197094	237034
454	197501	236567
