iter	Passed	Remaining
0	485	485017
1	860	429399
2	1200	398926
3	1567	390405
4	1922	382617
5	2253	373410
6	2601	369105
7	2929	363314
8	3276	360809
9	3639	360320
10	3924	352846
11	4259	350684
12	4610	350024
13	4905	345500
14	5273	346281
15	5636	346635
16	5978	345694
17	6312	344402
18	6616	341601
19	6963	341221
20	7265	338709
21	7615	338559
22	7953	337851
23	8314	338103
24	8680	338520
25	9061	339450
26	9401	338796
27	9771	339222
28	10155	340027
29	10519	340115
30	10853	339264
31	11177	338115
32	11531	337903
33	11905	338254
34	12222	336997
35	12583	336946
36	12899	335725
37	13260	335706
38	13583	334722
39	13967	335225
40	14298	334443
41	14639	333912
42	14935	332405
43	15301	332458
44	15681	332791
45	15958	330967
46	16356	331647
47	16767	332559
48	17225	334317
49	17640	335172
50	18053	335936
51	18408	335604
52	18787	335695
53	19209	336520
54	19665	337886
55	20134	339402
56	20506	339261
57	20852	338670
58	21260	339087
59	21630	338873
60	22117	340468
61	22499	340398
62	22885	340378
63	23233	339789
64	23584	339252
65	23979	339341
66	24273	338019
67	24642	337753
68	25016	337546
69	25355	336872
70	25750	336929
71	26164	337226
72	26569	337399
73	27031	338264
74	27380	337698
75	27732	337168
76	28114	337005
77	28528	337219
78	28926	337229
79	29259	336479
80	29638	336270
81	29983	335667
82	30421	336104
83	30837	336271
84	31267	336584
85	31651	336388
86	32083	336687
87	32520	337034
88	33063	338432
89	33514	338866
90	33944	339067
91	34310	338629
92	34690	338329
93	35050	337828
94	35381	337053
95	35767	336810
96	36133	336376
97	36477	335739
98	36801	334933
99	37169	334522
100	37549	334230
101	37909	333755
102	38305	333590
103	38674	333199
104	39065	332989
105	39430	332551
106	39826	332382
107	40225	332231
108	40602	331896
109	41012	331828
110	41403	331598
111	41779	331249
112	42190	331178
113	42550	330702
114	42941	330460
115	43343	330305
116	43707	329859
117	44081	329492
118	44370	328489
119	44729	328016
120	45069	327408
121	45401	326742
122	45767	326324
123	46093	325628
124	46410	324872
125	46753	324306
126	47142	324057
127	47495	323560
128	47791	322684
129	48166	322348
130	48549	322055
131	48924	321716
132	49329	321569
133	49721	321334
134	50051	320701
135	50324	319708
136	50666	319164
137	51039	318809
138	51447	318681
139	51834	318409
140	52229	318194
141	52603	317843
142	52984	317535
143	53387	317358
144	53805	317264
145	54257	317366
146	54655	317148
147	55049	316905
148	55476	316850
149	55831	316377
150	56217	316082
151	56647	316034
152	57042	315782
153	57410	315383
154	57823	315230
155	58275	315285
156	58645	314892
157	59033	314596
158	59437	314385
159	59916	314563
160	60235	313899
161	60560	313271
162	60927	312862
163	61315	312558
164	61680	312140
165	62048	311736
166	62401	311258
167	62695	310489
168	63037	309963
169	63377	309429
170	63727	308947
171	64122	308685
172	64518	308420
173	64884	308016
174	65209	307416
175	65648	307355
176	66077	307242
177	66526	307215
178	66942	307040
179	67362	306872
180	67728	306460
181	68145	306281
182	68515	305885
183	68882	305478
184	69316	305365
185	69721	305126
186	70089	304721
187	70485	304438
188	70865	304084
